request_id,category,source_field,value,name,type,total_dependencies_for_request
68,planning_instruments,plan_name,Lemsahl-Mellingstedt,,,15
68,planning_instruments,plan_type,Baustufenplan,,,15
68,planning_instruments,plan_primary_type,construction_phase_plan,,,15
68,planning_instruments,plan_references,,Lemsahl-Mellingstedt,construction_phase_plan,15
68,planning_instruments,plan_references,,"Duvenstedt, Bergstedt, Lemsahl-Mellingstedt, Volksdorf and Rahlstedt",landscape_protection,15
68,regulation_texts,regulations,"W 1 o, buildable area 2/10 (in the construction area), Building Code from June 8, 1938",,,15
68,regulation_texts,zone_code,W 1 o,,,15
68,landscape_conservation_documents,plan_references,,"Duvenstedt, Bergstedt, Lemsahl-Mellingstedt, Volksdorf and Rahlstedt",landscape_protection,15
68,landscape_conservation_documents,_notes,"Protection of landscape parts in Duvenstedt, Bergstedt, Lemsahl-Mellingstedt, Volksdorf, and Rahlstedt",,,15
68,granted_exemption_legal_references,granted_exemptions.legal_refs,§ 31 Abs. 2 BauGB,,,15
68,granted_exemption_legal_references,granted_exemptions.legal_refs,§ 4 BaumschutzVO,,,15
68,granted_exemption_legal_references,granted_exemptions.1.legal_ref,§ 31 Abs. 2 BauGB,,,15
68,granted_exemption_legal_references,granted_exemptions.1.text,§ 31 paragraph 2,,,15
68,granted_exemption_legal_references,granted_exemptions.1.text,§ 4,,,15
69,planning_instruments,development_plan,Bebauungsplan Rahlstedt 89,,,12
69,planning_instruments,plan_name,Rahlstedt 89,,,12
69,planning_instruments,plan_type,Bebauungsplan,,,12
69,planning_instruments,plan_primary_type,development_plan,,,12
69,planning_instruments,plan_references,,Rahlstedt 89,development_plan,12
69,regulatory_ordinances,legal_ordinance,BauNutzungsverordnung,,,12
69,regulatory_ordinances,_notes,"Baunutzungsverordnung from September 15, 1977",,,12
69,regulation_texts,regulations,"WR I o, 2 WE; GRZ 0.2; GFZ 0.3; Straßenparallelität; keine Staffelgeschosse; keine Flachdächer; Drempelhöhe max. 50 cm; max. Firsthöhe bei 1-gesch. WH = 8 m und bei 2-gesch. WH = 11 m",,,12
69,regulation_texts,zone_code,WR I o,,,12
69,granted_exemption_legal_references,granted_exemptions.legal_refs,§ 6 BaumschutzVO,,,12
69,granted_exemption_legal_references,granted_exemptions.1.legal_ref,§ 6 BaumschutzVO,,,12
69,granted_exemption_legal_references,granted_exemptions.1.text,§ 6,,,12
